Barrier ID,Site Name,Watershed Name,Crossing Type,Assessment Type Completed,Reason for Exclusion,Next Steps,Reason,Notes
198111,,BULK,Stream crossing - Ford,Barrier assessment,Passable,Ford. No signs of obstruction visible.,,https://www.newgraphenvironment.com/fish_passage_bulkley_2022_reporting/appendix---phase-1-fish-passage-assessment-data-and-photos.html
198113,,BULK,Stream crossing - Ford,Barrier assessment,Passable,Ford,Beaver dam in old road location. No obstructions noted.,
199444,24756606,BULK,Stream crossing - Ford,Barrier assessment,Passable,Road deactivated. ,Makeshift bridge has been placed across the channel,
199445,24756607,BULK,Stream crossing - OBS,Barrier assessment,Passable,,,
199446,1804808,BULK,Stream crossing - OBS,Barrier assessment,Passable,,,
199449,1801075,BULK,Stream crossing - Ford,Barrier assessment,Passable,,,
199453,1804882,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,,"No modeled key habitat, confirmed no habitat in the field. Crossing not mapped.",
199456,1803589,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,"No modeled key habitat, confirmed no habitat in field. ",Entered erroneously in PSCIS as crossing 1803586. ,
199459,1802664,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,,"Upstream is a pond, no known flow. Water is stagnant and orange.",
199460,1802663,BULK,Stream crossing - Ford,Barrier assessment,Passable,,,
3042,,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Med quality habitat but upstream of impassable falls,,
3067,,BULK,Stream crossing - CBS,Barrier assessment,No key upstream habitat,Upstream of impassable falls,Noted as high quality habitat,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198572
1001803834,,,None,Barrier assessment,No structure,,Deactivated (crossing removed),
1001804239,,,None,Barrier assessment,No structure,,Deactivated (crossing removed),
199443,1806259,,None,Barrier assessment,No structure,"Road deactivated, bridge removed",,
1001800752,,,Stream crossing - Ford,Other,Passable,Ford visible on satellite imagery. Could not be reached in the field. ,,
1001802820,,,None,Barrier assessment,No structure,No structure. Private land access with permission from landowner.,,
1001802859,,,None,Barrier assessment,No structure,,Field crew saw no sign of crossing. Mapped location was in middle of forst not near a road.,
199462,1801813,,None,Barrier assessment,No structure,,"Road overgrown, no structure identified.",
1001805665,,,None,Other,No structure,Adjacent landowner confirmed that crossing does not exist.,,
197938,,,Stream crossing - CBS,Barrier assessment,Passable,Scores as potential barrier but fully backwatered,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199018
1001803835,,,None,Barrier assessment,No structure,,Deactivated (crossing removed),
1001802482,,,None,Other,No structure,Landlord reports that there is no structure here.,,
1001802374,,,None,Barrier assessment,No structure,Structure does  not exist,,
