ID,Stream name,Data source,Assessment Status ,Barrier Status,Number of downstream barriers,Spawning habitat blocked – all species (km),Rearing habitat blocked – all species (km),Next Steps,Comments
57793,Vallee Creek,Demographic road crossing,Assessed,B,1,1.78,5.6,Habitat confirmation,Scheduled for 2022 field season.
57978,,Resource road crossing,Assessed,B,0,0,4.73,Habitat confirmation,Scheduled for 2022 field season.
195288,Gibson Creek,Demographic road crossing,Assessed,B,1,0,4.06,Habitat confirmation,Scheduled for 2022 field season.
58242,Kathlyn Creek,Demographic road crossing,Assessed,B,0,1.77,3.57,Habitat confirmation,Scheduled for 2022 field season.
58067,Gramophone Creek,Demographic road crossing,Assessed,B,0,3.37,3.43,Habitat confirmation,Scheduled for 2022 field season.
195559,Four Creek,Resource road crossing,Assessed,B,0,0,3.23,Habitat confirmation,Scheduled for 2022 field season.
123699,Driftwood Creek,Resource road crossing,Assessed,B,0,1.4,1.45,Habitat confirmation,Scheduled for 2022 field season.
124504,Coffin Creek,Demographic road crossing,Assessed,B,1,1.32,1.32,Habitat confirmation,Scheduled for 2022 field season.
123426,Robin Creek,Demographic road crossing,Assessed,B,0,1.28,1.28,Habitat confirmation,Scheduled for 2022 field season.
195290,Gibson Creek,Demographic road crossing,Assessed,B,0,0,1.25,Habitat confirmation,Scheduled for 2022 field season.
195943,Stock Creek,Demographic road crossing,Assessed,B,1,0,0.74,Habitat confirmation,Scheduled for 2022 field season.
197653,Perow Creek,Demographic road crossing,Assessed,B,1,0,0.34,Habitat confirmation,Scheduled for 2022 field season.
123393,Lemieux Creek,Demographic road crossing,Assessed,B,0,0.11,0.11,Habitat confirmation,Scheduled for 2022 field season.
195944,Stock Creek,Resource road crossing,Assessed,B,2,0,0.09,Habitat confirmation,Scheduled for 2022 field season.
197668,Coffin Creek,Railway crossing,Assessed,B,0,0.02,0.02,Habitat confirmation,Scheduled for 2022 field season.
1001800865,,Resource road crossing,Modelled,P,0,0.37,15.95,Barrier assessment,Scheduled for 2022 field season.
123697,Driftwood Creek,Resource road crossing,Assessed,P,1,7.67,10.86,Habitat confirmation,Scheduled for 2022 field season.
1001801115,Watson Creek,Resource road crossing,Modelled,P,3,0,7.825,Barrier assessment,Scheduled for 2022 field season.
1001800255,Stock Creek,Demographic road crossing,Modelled,P,3,0,7.09,Barrier assessment,Scheduled for 2022 field season.
1001801071,Perow Creek,Resource road crossing,Modelled,P,2,0,7.05,Barrier assessment,Scheduled for 2022 field season.
1001801328,Robin Creek,Resource road crossing,Modelled,P,1,0.16,6.05,Barrier assessment,Scheduled for 2022 field season.
1001802047,Bulkley River,Resource road crossing,Modelled,P,2,0,5.37,Barrier assessment,Scheduled for 2022 field season.
1001804538,,Resource road crossing,Modelled,P,2,0,5.015,Barrier assessment,Scheduled for 2022 field season.
1001801123,Watson Creek,Resource road crossing,Modelled,P,2,0,4.93,Barrier assessment,Scheduled for 2022 field season.
1001802069,Johnny David Creek,Resource road crossing,Modelled,P,1,0,4.31,Barrier assessment,Scheduled for 2022 field season.
1001806259,Maish Creek,Resource road crossing,Modelled,P,0,0.09,4.25,Barrier assessment,Scheduled for 2022 field season.
1001800670,Vanderven Creek,Resource road crossing,Modelled,P,2,0,3.98,Barrier assessment,Scheduled for 2022 field season.
1001800403,,Demographic road crossing,Modelled,P,0,0,3.69,Barrier assessment,Scheduled for 2022 field season.
1001802798,Coffin Creek,Resource road crossing,Modelled,P,2,3.45,3.66,Barrier assessment,Scheduled for 2022 field season.
1001805019,,Resource road crossing,Modelled,P,2,0,3.58,Barrier assessment,Scheduled for 2022 field season.
1001803607,,Resource road crossing,Modelled,P,0,0,3.35,Barrier assessment,Scheduled for 2022 field season.
1001802239,,Resource road crossing,Modelled,P,0,0,3.3,Barrier assessment,Scheduled for 2022 field season.
1001801039,,Resource road crossing,Modelled,P,0,0,3.06,Barrier assessment,Scheduled for 2022 field season.
1001805507,Stock Creek,Railway crossing,Modelled,P,0,1.54,2.23,Barrier assessment,Scheduled for 2022 field season.
1001802482,Vallee Creek,Resource road crossing,Modelled,P,0,0.88,0.88,Barrier assessment,Scheduled for 2022 field season.
1001800067,Perow Creek,Demographic road crossing,Modelled,P,0,0,0.08,Barrier assessment,Scheduled for 2022 field season.
,,,,,Total gain:,71.85,243.57,,
